phrase,target
The real estate company posted a net loss of +Ã¯Â¿Â½  x201a -Ã¯Â¿Â½ 59.3 million +Ã¯Â¿Â½  x201a -Ã¯Â¿Â½ 0.21 per share compared with a net profit of +Ã¯Â¿Â½  x201a -Ã¯Â¿Â½ 31 million +Ã¯Â¿Â½  x201a -Ã¯Â¿Â½ 0.11 per share for the corresponding quarter of 2007 ,input
"The EU Commission said earlier it had fined ThyssenKrupp , United Technologies Corp 's Otis , Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years ",input
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 ",input
Finnish media group Talentum has issued a profit warning ,input
Net profit fell by almost half to +Ã¯Â¿Â½ 5.5 million from +Ã¯Â¿Â½ 9.4 million at the end of 2007 ,input
Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 ,input
Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 ,input
"Production levels have been agreed with producers a long time ago , so a fall in consumption will lead to losses ",input
Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % ,input
Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate ,input
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspon",input
"Operating profit totaled EUR 6.7 mn , down from EUR 7.2 mn in the corresponding period in 2005 ",input
"Profit for the period totalled EUR 1.1 mn , down from EUR 1.6 mn in the third quarter of 2008 ",input
"In January-November 2009 , the group 's sales totalled EUR 7,801.7 mn , which was a drop of 12.6 % from the same period of 2008 ",input
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million ,input
Scanfil has also issued a profit warning ,input
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red ,input
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 ,input
Finnish Bank of +Ã¯Â¿Â½land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 ,input
Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 ,input
"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said ",input
Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 ,input
"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 ",input
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 ",input
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 ,input
"`` Small firms are suffering at the moment because they are likely to have money trouble , '' he added ",input
"YIT 's Baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year ",input
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 ",input
"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries ",input
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % ",input
"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn ",input
"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme ",input
"Finnish Scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of EUR 108.7 mn in the first half of 2008 , down from EUR 111.1 mn a year earlier ",input
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier ",input
"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % ",input
Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 ,input
"In the Baltic states the company reports net sales of EUR 11.9 mn , down from EUR 14.2 mn , and an operative EBIT of EUR -2.2 mn , down from EUR -1.7 mn ",input
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market ",input
"Operating profit was EUR -0.1 mn , down from EUR 1.3 mn ",input
"Operating profit decreased to nearly EUR 1.7 mn , however ",input
"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 ",input
"YIT lodged counter claims against Neste Oil totaling some EUR25m , primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project ",input
"- Demand for fireplace products was lower than expected , especially in Germany ",input
The move was triggered by weak demand for forestry equipment and the uncertain market situation ,input
The situation of coated magazine printing paper will continue to be weak ,input
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier ",input
"In September alone , the market declined by 10.2 percent year-on-year to 19.28 million liters ",input
"Finnish electronics contract manufacturer Scanfil reports net sales of EUR 58.9 mn in the second quarter of 2007 , down from EUR 62.4 mn a year earlier ",input
"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn ",input
"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations ",input
"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn ",input
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 ",input
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ",input
"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-ye",input
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 ",input
"Operating profit totalled EUR 30.2 mn , down from EUR 43.8 mn a year earlier ",input
"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 20",input
"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier ",input
Sanoma News ' advertising sales decreased by 22 % during the year ,input
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company ",input
The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 ,input
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier ,input
Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 ,input
"Copper , lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+Ã¯Â¿Â½ ?",input
The net sales decreased to EUR 49.8 million from EUR 59.9 million ,input
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 ,input
"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 ",input
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn ",input
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 ",input
"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day ",input
"However , the growth margin slowed down due to the financial crisis ",input
"Shares in Royal and Sun Alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid ",input
"Exports of goods fell by 59 % , and imports by 16.7 % ",input
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn ",input
"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 ",input
"Finnish financial software solutions developer BasWare Oyj said its net profit fell to 884,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier ",input
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year ",input
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 ,input
LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 ,input
Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 ,input
